network,database,type,reference,latitude,longitude,total_species,total_interactions,connectance
A_PH_88_1456,M,Herbivory,"@article{Bird_1930, doi = {10.2307/1930270}, url = {https://doi.org/10.2307%2F1930270}, year = 1930, month = {apr}, publisher = {Wiley}, volume = {11}, number = {2}, pages = {356--442}, author = {Ralph D. Bird}, title = {Biotic Communities of the Aspen Parkland of Central Canada}, journal = {Ecology}}",50.4218,-101.046,22,88,0.380952381
A_PH_88_1457,M,Herbivory,"@article{Bird_1930, doi = {10.2307/1930270}, url = {https://doi.org/10.2307%2F1930270}, year = 1930, month = {apr}, publisher = {Wiley}, volume = {11}, number = {2}, pages = {356--442}, author = {Ralph D. Bird}, title = {Biotic Communities of the Aspen Parkland of Central Canada}, journal = {Ecology}}",50.4218,-101.046,29,85,0.209359606
A_PH_164_1596,M,Herbivory,"@article{Boit_2012,	doi = {10.1111/j.1461-0248.2012.01777.x}, url = {https://doi.org/10.1111%2Fj.1461-0248.2012.01777.x}, year = 2012, month = {apr}, publisher = {Wiley}, volume = {15}, number = {6}, pages = {594--602}, author = {Alice Boit and Neo D. Martinez and Richard J. Williams and Ursula Gaedke}, title = {Mechanistic theory and modelling of complex food-web dynamics in Lake Constance}, journal = {Ecology Letters}}",47.6477935,9.3471334,18,50,0.326797386
A_PH_58_1102,M,Herbivory,"@article{Bulman_2001, doi = {10.1071/mf99152}, url = {https://doi.org/10.1071%2Fmf99152}, year = 2001, publisher = {{CSIRO} Publishing}, volume = {52}, number = {4}, pages = {537}, author = {C. Bulman and F. Althaus and X. He and N. J. Bax and A. Williams}, title = {Diets and trophic guilds of demersal fishes of the south-eastern Australian shelf}, journal = {Marine and Freshwater Research}}",22.45,120.433333,7,6,0.285714286
A_PH_89_1458,M,Herbivory,"@article{Carlson_1968,	doi = {10.2307/1933577},	url = {https://doi.org/10.2307%2F1933577},	year = 1968,	month = {jan},	publisher = {Wiley},	volume = {49},	number = {1},	pages = {162--169},	author = {Clarence A. Carlson},	title = {Summer Bottom Fauna of the Mississippi River, above Dam 19, Keokuk, Iowa},	journal = {Ecology}}",40.400044,-91.367841,8,7,0.25
A_PH_48_1092,M,Herbivory,"@article{Closs_1994, doi = {10.2307/2937053}, url = {https://doi.org/10.2307%2F2937053}, year = 1994, month = {feb}, publisher = {Wiley}, volume = {64}, number = {1}, pages = {1--21}, author = {G. P. Closs and P. S. Lake}, title = {Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web}, journal = {Ecological Monographs}}",-37.615317,144.281862,8,8,0.285714286
A_PH_48_1100,M,Herbivory,"@article{Closs_1994, doi = {10.2307/2937053}, url = {https://doi.org/10.2307%2F2937053}, year = 1994, month = {feb}, publisher = {Wiley}, volume = {64}, number = {1}, pages = {1--21}, author = {G. P. Closs and P. S. Lake}, title = {Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web}, journal = {Ecological Monographs}}",-37.615317,144.281862,17,27,0.198529412
A_PH_48_1089,M,Herbivory,"@article{Closs_1994, doi = {10.2307/2937053}, url = {https://doi.org/10.2307%2F2937053}, year = 1994, month = {feb}, publisher = {Wiley}, volume = {64}, number = {1}, pages = {1--21}, author = {G. P. Closs and P. S. Lake}, title = {Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web}, journal = {Ecological Monographs}}",-37.615317,144.281862,9,13,0.361111111
A_PH_48_1090,M,Herbivory,"@article{Closs_1994, doi = {10.2307/2937053}, url = {https://doi.org/10.2307%2F2937053}, year = 1994, month = {feb}, publisher = {Wiley}, volume = {64}, number = {1}, pages = {1--21}, author = {G. P. Closs and P. S. Lake}, title = {Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web}, journal = {Ecological Monographs}}",-37.615317,144.281862,9,14,0.388888889
A_PH_48_1091,M,Herbivory,"@article{Closs_1994, doi = {10.2307/2937053}, url = {https://doi.org/10.2307%2F2937053}, year = 1994, month = {feb}, publisher = {Wiley}, volume = {64}, number = {1}, pages = {1--21}, author = {G. P. Closs and P. S. Lake}, title = {Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web}, journal = {Ecological Monographs}}",-37.615317,144.281862,7,10,0.476190476
A_PH_48_1093,M,Herbivory,"@article{Closs_1994, doi = {10.2307/2937053}, url = {https://doi.org/10.2307%2F2937053}, year = 1994, month = {feb}, publisher = {Wiley}, volume = {64}, number = {1}, pages = {1--21}, author = {G. P. Closs and P. S. Lake}, title = {Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web}, journal = {Ecological Monographs}}",-37.615317,144.281862,8,9,0.321428571
A_PH_48_1094,M,Herbivory,"@article{Closs_1994, doi = {10.2307/2937053}, url = {https://doi.org/10.2307%2F2937053}, year = 1994, month = {feb}, publisher = {Wiley}, volume = {64}, number = {1}, pages = {1--21}, author = {G. P. Closs and P. S. Lake}, title = {Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web}, journal = {Ecological Monographs}}",-37.615317,144.281862,9,10,0.277777778
A_PH_48_1095,M,Herbivory,"@article{Closs_1994, doi = {10.2307/2937053}, url = {https://doi.org/10.2307%2F2937053}, year = 1994, month = {feb}, publisher = {Wiley}, volume = {64}, number = {1}, pages = {1--21}, author = {G. P. Closs and P. S. Lake}, title = {Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web}, journal = {Ecological Monographs}}",-37.615317,144.281862,7,6,0.285714286
A_PH_48_1096,M,Herbivory,"@article{Closs_1994, doi = {10.2307/2937053}, url = {https://doi.org/10.2307%2F2937053}, year = 1994, month = {feb}, publisher = {Wiley}, volume = {64}, number = {1}, pages = {1--21}, author = {G. P. Closs and P. S. Lake}, title = {Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web}, journal = {Ecological Monographs}}",-37.615317,144.281862,8,8,0.285714286
A_PH_48_1097,M,Herbivory,"@article{Closs_1994, doi = {10.2307/2937053}, url = {https://doi.org/10.2307%2F2937053}, year = 1994, month = {feb}, publisher = {Wiley}, volume = {64}, number = {1}, pages = {1--21}, author = {G. P. Closs and P. S. Lake}, title = {Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web}, journal = {Ecological Monographs}}",-37.615317,144.281862,8,8,0.285714286
A_PH_48_1098,M,Herbivory,"@article{Closs_1994, doi = {10.2307/2937053}, url = {https://doi.org/10.2307%2F2937053}, year = 1994, month = {feb}, publisher = {Wiley}, volume = {64}, number = {1}, pages = {1--21}, author = {G. P. Closs and P. S. Lake}, title = {Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web}, journal = {Ecological Monographs}}",-37.615317,144.281862,15,24,0.228571429
A_PH_48_1099,M,Herbivory,"@article{Closs_1994, doi = {10.2307/2937053}, url = {https://doi.org/10.2307%2F2937053}, year = 1994, month = {feb}, publisher = {Wiley}, volume = {64}, number = {1}, pages = {1--21}, author = {G. P. Closs and P. S. Lake}, title = {Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web}, journal = {Ecological Monographs}}",-37.615317,144.281862,17,27,0.198529412
A_PH_156_2463,M,Herbivory,"@article{Cohen_2003,	doi = {10.1073/pnas.232715699}, url = {https://doi.org/10.1073%2Fpnas.232715699}, year = 2003, month = {jan}, publisher = {Proceedings of the National Academy of Sciences}, volume = {100}, number = {4}, pages = {1781--1786}, author = {J. E. Cohen and T. Jonsson and S. R. Carpenter}, title = {Ecological community description using the food web, species abundance, and body size}, journal = {Proceedings of the National Academy of Sciences}}",46.25131,-89.4974112,32,104,0.209677419
A_PH_156_2464,M,Herbivory,"@article{Cohen_2003,	doi = {10.1073/pnas.232715699}, url = {https://doi.org/10.1073%2Fpnas.232715699}, year = 2003, month = {jan}, publisher = {Proceedings of the National Academy of Sciences}, volume = {100}, number = {4}, pages = {1781--1786}, author = {J. E. Cohen and T. Jonsson and S. R. Carpenter}, title = {Ecological community description using the food web, species abundance, and body size}, journal = {Proceedings of the National Academy of Sciences}}",46.25131,-89.4974112,38,123,0.174964438
A_PH_90_1459,M,Herbivory,"@article{Collins_1976, doi = {10.2307/1935046}, url = {https://doi.org/10.2307%2F1935046}, year = 1976, month = {nov}, publisher = {Wiley}, volume = {57}, number = {6}, pages = {1221--1232}, author = {Nicholas C. Collins and Rodger Mitchell and Richard G. Wiegert}, title = {Functional Analysis of a Thermal Spring Ecosystem, with an Evaluation of the Role of Consumers}, journal = {Ecology}}",44.566874,-110.830259,10,9,0.2
A_PH_92_1462,M,Herbivory,"@article{Cruz_Escalona_2007,	doi = {10.1016/j.ecss.2006.10.013}, url = {https://doi.org/10.1016%2Fj.ecss.2006.10.013}, year = 2007, month = {mar}, publisher = {Elsevier {BV}}, volume = {72}, number = {1-2}, pages = {155--167}, author = {V.H. Cruz-Escalona and F. Arreguin-Sanchez and M. Zetina-Rejon, title = {Analysis of the ecosystem structure of Laguna Alvarado, western Gulf of Mexico, by means of a mass balance model}, journal = {Estuarine, Coastal and Shelf Science}}",18.774254,-95.827863,25,34,0.113333333
A_PH_23_87,M,Herbivory,"@article{Cruz_Escalona_2007, doi = {10.1016/j.ecss.2006.10.013}, url = {https://doi.org/10.1016%2Fj.ecss.2006.10.013}, year = 2007, month = {mar}, publisher = {Elsevier {BV}}, volume = {72}, number = {1-2},pages = {155--167}, author = {V.H. Cruz-Escalona and F. Arreguín-Sánchez and M. Zetina-Rejón, title = {Analysis of the ecosystem structure of Laguna Alvarado, western Gulf of Mexico, by means of a mass balance model}, journal = {Estuarine, Coastal and Shelf Science}}",18.774254,-95.827863,14,13,0.142857143
A_PH_146_1532,M,Herbivory,"@article{Cummins_1966, doi = {10.1080/03680770.1965.11895740}, url = {https://doi.org/10.1080%2F03680770.1965.11895740}, year = 1966, month = {jun}, publisher = {Informa {UK} Limited}, volume = {16}, number = {2}, pages = {627--638}, author = {Kenneth W. Cummins and William P. Coffman and Peter A. Roff}, title = {Trophic relationships in a small woodland stream}, journal = {{SIL} Proceedings, 1922-2010}}",41.65136152,-80.41912391,22,21,0.090909091
A_PH_79_1112,M,Herbivory,"@article{Douglass_2011, doi = {10.1007/s12237-010-9356-4}, url = {https://doi.org/10.1007%2Fs12237-010-9356-4}, year = 2011, month = {jan}, publisher = {Springer Nature}, volume = {34}, number = {4}, pages = {701--711}, author = {James G. Douglass and J. Emmett Duffy and Elizabeth A. Canuel}, title = {Food Web Structure in a Chesapeake Bay Eelgrass Bed as Determined through Gut Contents and 13C and 15N Isotope Analysis}, journal = {Estuaries and Coasts}}",37.216667,-76.383333,10,15,0.333333333
A_PH_79_1113,M,Herbivory,"@article{Douglass_2011, doi = {10.1007/s12237-010-9356-4}, url = {https://doi.org/10.1007%2Fs12237-010-9356-4}, year = 2011, month = {jan}, publisher = {Springer Nature}, volume = {34}, number = {4}, pages = {701--711}, author = {James G. Douglass and J. Emmett Duffy and Elizabeth A. Canuel}, title = {Food Web Structure in a Chesapeake Bay Eelgrass Bed as Determined through Gut Contents and 13C and 15N Isotope Analysis}, journal = {Estuaries and Coasts}}",37.216667,-76.383333,10,9,0.2
A_PH_79_1114,M,Herbivory,"@article{Douglass_2011, doi = {10.1007/s12237-010-9356-4}, url = {https://doi.org/10.1007%2Fs12237-010-9356-4}, year = 2011, month = {jan}, publisher = {Springer Nature}, volume = {34}, number = {4}, pages = {701--711}, author = {James G. Douglass and J. Emmett Duffy and Elizabeth A. Canuel}, title = {Food Web Structure in a Chesapeake Bay Eelgrass Bed as Determined through Gut Contents and 13C and 15N Isotope Analysis}, journal = {Estuaries and Coasts}}",37.216667,-76.383333,8,6,0.214285714
A_PH_20_84,M,Herbivory,"@article{Es_1977, doi = {10.1007/bf02207842}, url = {https://doi.org/10.1007%2Fbf02207842}, year = 1977, month = {aug}, publisher = {Springer Nature}, volume = {30}, number = {1-4}, pages = {283--294}, author = {F. B. Es}, title = {A preliminary carbon budget for a part of the Ems estuary: The Dollard}, journal = {Helgoländer Wissenschaftliche Meeresuntersuchungen}}",53.404687,6.966782,7,6,0.285714286
A_PH_94_1464,M,Herbivory,"@article{Fetahi_2011, doi = {10.1016/j.ecolmodel.2010.09.038}, url = {https://doi.org/10.1016%2Fj.ecolmodel.2010.09.038}, year = 2011, month = {feb}, publisher = {Elsevier {BV}}, volume = {222}, number = {3}, pages = {804--813}, author = {Tadesse Fetahi and Michael Schagerl and Seyoum Mengistou and Simone Libralato}, title = {Food web structure and trophic interactions of the tropical highland lake Hayq, Ethiopia}, journal = {Ecological Modelling}}",11.344538,39.711131,10,9,0.2
A_PH_73_1115,M,Herbivory,"@article{Filgueira_2011, doi = {10.1016/j.csr.2010.10.010}, url = {https://doi.org/10.1016%2Fj.csr.2010.10.010}, year = 2011, month = {apr}, publisher = {Elsevier {BV}}, volume = {31}, number = {5}, pages = {476--487}, author = {R. Filgueira and B.G. Castro}, title = {Study of the trophic web of San Simón Bay (Ría de Vigo) by using stable isotopes}, journal = {Continental Shelf Research}}",42.29361111,-8.645277778,15,29,0.276190476
A_PH_155_1567,M,Herbivory,"@article{Filgueira_2011, doi = {10.1016/j.csr.2010.10.010}, url = {https://doi.org/10.1016%2Fj.csr.2010.10.010}, year = 2011, month = {apr}, publisher = {Elsevier {BV}}, volume = {31}, number = {5}, pages = {476--487}, author = {R. Filgueira and B.G. Castro}, title = {Study of the trophic web of San Simon Bay (Ria de Vigo) by using stable isotopes}, journal = {Continental Shelf Research}}",42.33157165,-8.616489227,16,33,0.275
A_PH_95_1465,M,Herbivory,"@article{FRYER_1959,	doi = {10.1111/j.1469-7998.1959.tb05521.x}, url = {https://doi.org/10.1111%2Fj.1469-7998.1959.tb05521.x}, year = 1959, month = {aug}, publisher = {Wiley}, volume = {132}, number = {2}, pages = {153--281}, author = {GEOFFREY FRYER}, title = {{THE} {TROPHIC} {INTERRELATIONSHIPS} {AND} {ECOLOGY} {OF} {SOME} {LITTORAL} {COMMUNITIES} {OF} {LAKE} {NYASA} {WITH} {ESPECIAL} {REFERENCE} {TO} {THE} {FISHES}, {AND} A {DISCUSSION} {OF} {THE} {EVOLUTION} {OF} A {GROUP} {OF} {ROCK}-{FREQUENTING} {CICHLIDAE}}, journal = {Proceedings of the Zoological Society of London}}",-11.612087,34.301249,22,22,0.095238095
A_PH_95_1466,M,Herbivory,"@article{FRYER_1959,	doi = {10.1111/j.1469-7998.1959.tb05521.x}, url = {https://doi.org/10.1111%2Fj.1469-7998.1959.tb05521.x}, year = 1959, month = {aug}, publisher = {Wiley}, volume = {132}, number = {2}, pages = {153--281}, author = {GEOFFREY FRYER}, title = {{THE} {TROPHIC} {INTERRELATIONSHIPS} {AND} {ECOLOGY} {OF} {SOME} {LITTORAL} {COMMUNITIES} {OF} {LAKE} {NYASA} {WITH} {ESPECIAL} {REFERENCE} {TO} {THE} {FISHES}, {AND} A {DISCUSSION} {OF} {THE} {EVOLUTION} {OF} A {GROUP} {OF} {ROCK}-{FREQUENTING} {CICHLIDAE}}, journal = {Proceedings of the Zoological Society of London}}",-11.612087,34.301249,27,26,0.074074074
A_PH_95_1467,M,Herbivory,"@article{FRYER_1959,	doi = {10.1111/j.1469-7998.1959.tb05521.x}, url = {https://doi.org/10.1111%2Fj.1469-7998.1959.tb05521.x}, year = 1959, month = {aug}, publisher = {Wiley}, volume = {132}, number = {2}, pages = {153--281}, author = {GEOFFREY FRYER}, title = {{THE} {TROPHIC} {INTERRELATIONSHIPS} {AND} {ECOLOGY} {OF} {SOME} {LITTORAL} {COMMUNITIES} {OF} {LAKE} {NYASA} {WITH} {ESPECIAL} {REFERENCE} {TO} {THE} {FISHES}, {AND} A {DISCUSSION} {OF} {THE} {EVOLUTION} {OF} A {GROUP} {OF} {ROCK}-{FREQUENTING} {CICHLIDAE}}, journal = {Proceedings of the Zoological Society of London}}",-11.612087,34.301249,25,34,0.113333333
A_PH_96_1468,M,Herbivory,"@article{Gaedke_1994, doi = {10.1016/0304-3800(94)90038-8}, url = {https://doi.org/10.1016%2F0304-3800%2894%2990038-8}, year = 1994, month = {sep}, publisher = {Elsevier {BV}}, volume = {75-76}, pages = {435--445}, author = {Ursula Gaedke and Dietmar Straile}, title = {Seasonal changes of trophic transfer efficiencies in a plankton food web derived from biomass size distributions and network analysis}, journal = {Ecological Modelling}}",47.628224,9.384479,6,5,0.333333333
A_PH_136_1520,M,Herbivory,"@article{Hartley_1948,	doi = {10.2307/1604}, url = {https://doi.org/10.2307%2F1604}, year = 1948, month = {may}, publisher = {{JSTOR}}, volume = {17}, number = {1}, pages = {1}, author = {P. H. T. Hartley}, title = {Food and Feeding Relationships in a Community of Fresh-Water Fishes}, journal = {The Journal of Animal Ecology}}",52.12020561,0.019592703,14,25,0.274725275
A_PH_15_1217,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.62833333,-74.79722222,84,236,0.067699369
A_PH_15_1219,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.51194444,-74.125,84,190,0.054503729
A_PH_15_1220,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.28472222,-74.35944444,92,230,0.054945055
A_PH_15_1222,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.6,-74.6625,116,432,0.064767616
A_PH_15_1225,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.78916667,-74.81277778,50,98,0.08
